Capital,State,Capital,State,Miles,Seconds
Albany,NY,Santa Fe,NM,2063,108954
Albany,NY,Carson City,NV,2748,144217
Columbus,OH,Montgomery,AL,658,34719
Columbus,OH,Little Rock,AR,724,38619
Columbus,OH,Phoenix,AZ,1877,99289
Columbus,OH,Sacramento,CA,2360,123450
Columbus,OH,Denver,CO,1262,66028
Columbus,OH,Hartford,CT,662,36195
Columbus,OH,Dover,DE,486,28118
Columbus,OH,Tallahassee,FL,828,45635
Columbus,OH,Atlanta,GA,567,30085
Columbus,OH,Des Moines,IA,648,34867
Columbus,OH,Boise,ID,2009,104736
Columbus,OH,Springfield,IL,384,21237
Columbus,OH,Indianapolis,IN,175,9696
Columbus,OH,Topeka,KS,721,38473
Columbus,OH,Frankfort,KY 40601,186,10975
Columbus,OH,Baton Rouge,LA,967,50789
Columbus,OH,Boston,MA,762,41876
Columbus,OH,Annapolis,MD,426,24205
Columbus,OH,Augusta,ME 04330,916,49805
Columbus,OH,Lansing,MI,254,14177
Columbus,OH,St Paul,MN,755,40122
Columbus,OH,Jefferson City,MO,544,29194
Columbus,OH,Jackson,MS,790,42009
Columbus,OH,Helena,MT,1802,95446
Columbus,OH,Raleigh,NC,479,27334
Columbus,OH,Bismarck,ND,1191,62773
Columbus,OH,Lincoln,NE,815,44609
Columbus,OH,Concord,NH,755,43633
Columbus,OH,Trenton,NJ,488,27002
Columbus,OH,Santa Fe,NM,1450,76043
Columbus,OH,Carson City,NV,2257,117387
Columbus,OH,Albany,NY,612,32920
Oklahoma City,OK,Montgomery,AL,799,41337
Oklahoma City,OK,Little Rock,AR,339,17530
Oklahoma City,OK,Phoenix,AZ,961,51311
Oklahoma City,OK,Sacramento,CA,1621,85581
Oklahoma City,OK,Denver,CO,678,34862
Oklahoma City,OK,Hartford,CT,1577,84519
Oklahoma City,OK,Dover,DE,1403,76452
Oklahoma City,OK,Tallahassee,FL,1010,54519
Oklahoma City,OK,Atlanta,GA,857,44538
Oklahoma City,OK,Des Moines,IA,545,28392
Oklahoma City,OK,Boise,ID,1483,76677
Oklahoma City,OK,Springfield,IL,594,31459
Oklahoma City,OK,Indianapolis,IN,740,39273
Oklahoma City,OK,Topeka,KS,293,15489
Oklahoma City,OK,Frankfort,KY 40601,810,42978
Oklahoma City,OK,Baton Rouge,LA,616,33353
Oklahoma City,OK,Boston,MA,1678,90200
Oklahoma City,OK,Annapolis,MD,1342,72540
Oklahoma City,OK,Augusta,ME 04330,1831,98129
Oklahoma City,OK,Lansing,MI,984,52330
Oklahoma City,OK,St Paul,MN,792,41049
Oklahoma City,OK,Jefferson City,MO,419,22620
Oklahoma City,OK,Jackson,MS,605,32005
Oklahoma City,OK,Helena,MT,1459,74494
